,ts_code,symbol,name,area,industry,fullname,market,list_date
1846,300457.SZ,300457,赢合科技,深圳,专用机械,深圳市赢合科技股份有限公司,创业板,20150514
1847,300458.SZ,300458,全志科技,广东,元器件,珠海全志科技股份有限公司,创业板,20150515
1848,300459.SZ,300459,金科文化,浙江,化工原料,浙江金科文化产业股份有限公司,创业板,20150515
1849,300460.SZ,300460,惠伦晶体,广东,元器件,广东惠伦晶体科技股份有限公司,创业板,20150515
1850,300461.SZ,300461,田中精机,浙江,专用机械,浙江田中精机股份有限公司,创业板,20150519
1851,300462.SZ,300462,华铭智能,上海,专用机械,上海华铭智能终端设备股份有限公司,创业板,20150527
1852,300463.SZ,300463,迈克生物,四川,医疗保健,迈克生物股份有限公司,创业板,20150528
1853,300464.SZ,300464,星徽精密,广东,机械基件,广东星徽精密制造股份有限公司,创业板,20150610
1854,300465.SZ,300465,高伟达,北京,软件服务,高伟达软件股份有限公司,创业板,20150528
1855,300466.SZ,300466,赛摩电气,江苏,电器仪表,赛摩电气股份有限公司,创业板,20150528
1856,300467.SZ,300467,迅游科技,四川,互联网,四川迅游网络科技股份有限公司,创业板,20150527
1857,300468.SZ,300468,四方精创,深圳,软件服务,深圳四方精创资讯股份有限公司,创业板,20150527
1858,300469.SZ,300469,信息发展,上海,软件服务,上海中信信息发展股份有限公司,创业板,20150611
1859,300470.SZ,300470,日机密封,四川,机械基件,四川日机密封件股份有限公司,创业板,20150612
1860,300471.SZ,300471,厚普股份,四川,专用机械,成都华气厚普机电设备股份有限公司,创业板,20150611
1861,300472.SZ,300472,新元科技,北京,专用机械,北京万向新元科技股份有限公司,创业板,20150611
1862,300473.SZ,300473,德尔股份,辽宁,汽车配件,阜新德尔汽车部件股份有限公司,创业板,20150612
1863,300474.SZ,300474,景嘉微,湖南,元器件,长沙景嘉微电子股份有限公司,创业板,20160331
1864,300475.SZ,300475,聚隆科技,安徽,专用机械,安徽聚隆传动科技股份有限公司,创业板,20150610
1865,300476.SZ,300476,胜宏科技,广东,元器件,胜宏科技(惠州)股份有限公司,创业板,20150611
1866,300477.SZ,300477,合纵科技,北京,电气设备,北京合纵科技股份有限公司,创业板,20150610
1867,300478.SZ,300478,杭州高新,浙江,橡胶,杭州高新橡塑材料股份有限公司,创业板,20150610
1868,300479.SZ,300479,神思电子,山东,软件服务,神思电子技术股份有限公司,创业板,20150612
1869,300480.SZ,300480,光力科技,河南,电器仪表,光力科技股份有限公司,创业板,20150702
1870,300481.SZ,300481,濮阳惠成,河南,化工原料,濮阳惠成电子材料股份有限公司,创业板,20150630
1871,300482.SZ,300482,万孚生物,广东,生物制药,广州万孚生物技术股份有限公司,创业板,20150630
1872,300483.SZ,300483,沃施股份,上海,专用机械,上海沃施园艺股份有限公司,创业板,20150630
1873,300484.SZ,300484,蓝海华腾,深圳,电气设备,深圳市蓝海华腾技术股份有限公司,创业板,20160322
1874,300485.SZ,300485,赛升药业,北京,生物制药,北京赛升药业股份有限公司,创业板,20150626
1875,300486.SZ,300486,东杰智能,山西,专用机械,山西东杰智能物流装备股份有限公司,创业板,20150630
1876,300487.SZ,300487,蓝晓科技,陕西,化工原料,西安蓝晓科技新材料股份有限公司,创业板,20150702
1877,300488.SZ,300488,恒锋工具,浙江,机械基件,恒锋工具股份有限公司,创业板,20150701
1878,300489.SZ,300489,中飞股份,黑龙江,铝,哈尔滨中飞新技术股份有限公司,创业板,20150701
1879,300490.SZ,300490,华自科技,湖南,电气设备,华自科技股份有限公司,创业板,20151231
1880,300491.SZ,300491,通合科技,河北,电气设备,石家庄通合电子科技股份有限公司,创业板,20151231
1881,300492.SZ,300492,山鼎设计,四川,建筑施工,山鼎设计股份有限公司,创业板,20151223
1882,300493.SZ,300493,润欣科技,上海,通信设备,上海润欣科技股份有限公司,创业板,20151210
1883,300494.SZ,300494,盛天网络,湖北,互联网,湖北盛天网络技术股份有限公司,创业板,20151231
1884,300495.SZ,300495,美尚生态,江苏,环境保护,美尚生态景观股份有限公司,创业板,20151222
1885,300496.SZ,300496,中科创达,北京,软件服务,中科创达软件股份有限公司,创业板,20151210
1886,300497.SZ,300497,富祥股份,江西,化学制药,江西富祥药业股份有限公司,创业板,20151222
1887,300498.SZ,300498,温氏股份,广东,农业综合,温氏食品集团股份有限公司,创业板,20151102
1888,300499.SZ,300499,高澜股份,广东,专用机械,广州高澜节能技术股份有限公司,创业板,20160202
1889,300500.SZ,300500,启迪设计,江苏,建筑施工,启迪设计集团股份有限公司,创业板,20160204
1890,300501.SZ,300501,海顺新材,上海,广告包装,上海海顺新型药用包装材料股份有限公司,创业板,20160204
1891,300502.SZ,300502,新易盛,四川,通信设备,成都新易盛通信技术股份有限公司,创业板,20160303
1892,300503.SZ,300503,昊志机电,广东,机械基件,广州市昊志机电股份有限公司,创业板,20160309
1893,300504.SZ,300504,天邑股份,四川,通信设备,四川天邑康和通信股份有限公司,创业板,20180330
1894,300505.SZ,300505,川金诺,云南,化工原料,昆明川金诺化工股份有限公司,创业板,20160315
1895,300506.SZ,300506,名家汇,深圳,建筑施工,深圳市名家汇科技股份有限公司,创业板,20160324
1896,300507.SZ,300507,苏奥传感,江苏,汽车配件,江苏奥力威传感高科股份有限公司,创业板,20160429
1897,300508.SZ,300508,维宏股份,上海,软件服务,上海维宏电子科技股份有限公司,创业板,20160419
1898,300509.SZ,300509,新美星,江苏,专用机械,江苏新美星包装机械股份有限公司,创业板,20160425
1899,300510.SZ,300510,金冠股份,吉林,电气设备,吉林省金冠电气股份有限公司,创业板,20160506
1900,300511.SZ,300511,雪榕生物,上海,种植业,上海雪榕生物科技股份有限公司,创业板,20160504
1901,300512.SZ,300512,中亚股份,浙江,专用机械,杭州中亚机械股份有限公司,创业板,20160526
